2026-02-19 23:09:48 | INFO     | ai_security_scanner | === STARTING LLM SCANS (10 parallel Gemini calls) ===
2026-02-19 23:09:55 | INFO     | ai_security_scanner | LLM scan LLM01:2025 => found=True | severity=Critical | confidence=0.95
2026-02-19 23:09:55 | INFO     | ai_security_scanner | LLM scan LLM02:2025 => found=False | severity=Low | confidence=0.0
2026-02-19 23:09:55 | INFO     | ai_security_scanner | LLM scan LLM03:2025 => found=False | severity=Low | confidence=0.0
2026-02-19 23:09:55 | INFO     | ai_security_scanner | LLM scan LLM04:2025 => found=False | severity=Low | confidence=0.0
2026-02-19 23:09:55 | INFO     | ai_security_scanner | LLM scan LLM05:2025 => found=True | severity=Critical | confidence=0.9
2026-02-19 23:09:55 | INFO     | ai_security_scanner | LLM scan LLM06:2025 => found=False | severity=Low | confidence=0.0
2026-02-19 23:09:55 | INFO     | ai_security_scanner | LLM scan LLM07:2025 => found=False | severity=Low | confidence=0.0
2026-02-19 23:09:55 | INFO     | ai_security_scanner | LLM scan LLM08:2025 => found=False | severity=? | confidence=?
2026-02-19 23:09:55 | INFO     | ai_security_scanner | LLM scan LLM09:2025 => found=False | severity=Low | confidence=0.0
2026-02-19 23:09:55 | INFO     | ai_security_scanner | LLM scan LLM10:2025 => found=False | severity=Low | confidence=0.0
2026-02-19 23:09:55 | INFO     | ai_security_scanner | === LLM SCANS COMPLETE: 2 / 10 categories found vulnerabilities ===
2026-02-19 23:09:55 | INFO     | ai_security_scanner | Scan complete | scan_id=fbdb6ef0-cffb-48fa-8b04-c99cf53e519f | risk=100 (Critical) | findings=8 | duration=6.907s
